Steps out_loss reg_loss point_loss train_accuracy time memory
495 0.152 24.826 2.377 0.95 123.92 4307.5
496 0.167 24.816 2.552 0.93 124.04 4307.5
497 0.185 24.806 2.388 0.94 124.18 4307.5
498 0.131 24.796 2.521 0.95 124.34 4307.5
499 0.150 24.785 2.365 0.94 124.46 4307.5
500 0.157 24.775 2.428 0.94 124.59 4307.5
501 0.168 24.765 2.463 0.94 124.72 4307.5
502 0.172 24.755 2.343 0.94 124.86 4307.5
503 0.144 24.745 2.564 0.94 125.00 4307.5
504 0.173 24.734 2.308 0.94 125.13 4307.5
505 0.196 24.724 2.303 0.93 125.26 4307.5
506 0.167 24.714 2.324 0.94 125.38 4307.5
507 0.164 24.704 2.394 0.94 125.52 4307.5
508 0.147 24.694 2.487 0.95 125.65 4307.5
509 0.322 24.683 2.370 0.86 125.75 4307.5
511 0.148 24.673 2.470 0.95 127.51 4307.5
512 0.163 24.663 2.398 0.93 127.65 4307.5
513 0.157 24.654 2.372 0.94 127.78 4307.5
514 0.246 24.644 2.399 0.89 127.92 4307.5
515 0.140 24.634 2.283 0.94 128.05 4307.5
516 0.126 24.624 2.286 0.95 128.18 4307.5
517 0.137 24.614 2.343 0.95 128.30 4307.5
518 0.193 24.604 2.301 0.94 128.43 4307.5
519 0.143 24.594 2.363 0.94 128.57 4307.5
520 0.146 24.584 2.382 0.94 128.72 4307.5
521 0.252 24.575 2.529 0.91 128.83 4307.5
522 0.157 24.565 2.343 0.94 128.98 4307.5
523 0.155 24.555 2.310 0.94 129.11 4307.5
524 0.168 24.545 2.363 0.93 129.26 4307.5
525 0.215 24.535 2.476 0.92 129.34 4307.5
527 0.123 24.525 2.356 0.95 131.06 4307.5
528 0.146 24.516 2.323 0.95 131.18 4307.5
529 0.187 24.506 2.268 0.93 131.32 4307.5
530 0.162 24.497 2.378 0.94 131.45 4307.5
531 0.193 24.487 2.327 0.93 131.58 4307.5
532 0.140 24.478 2.332 0.94 131.70 4307.5
533 0.149 24.468 2.459 0.94 131.85 4307.5
534 0.176 24.458 2.306 0.93 131.98 4307.5
535 0.160 24.449 2.328 0.94 132.12 4307.5
536 0.150 24.439 2.321 0.94 132.25 4307.5
537 0.160 24.430 2.300 0.93 132.40 4307.5
538 0.155 24.420 2.377 0.94 132.52 4307.5
539 0.136 24.411 2.329 0.95 132.64 4307.5
540 0.184 24.401 2.418 0.92 132.76 4307.5
541 0.191 24.392 2.297 0.93 132.92 4307.5
543 0.172 24.382 2.218 0.93 134.63 4307.5
544 0.181 24.373 2.158 0.93 134.77 4307.5
545 0.153 24.364 2.316 0.94 134.92 4307.5
546 0.134 24.354 2.377 0.95 135.07 4307.5
